standardDeviation,noOfPeaks,EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
246.66933331891906,0,7451.2,5046.0,140.7,23.0,10.0,2.0,396.3
147.14392047697157,1,3128.0,5046.0,14.222222222222221,23.0,1.0,2.0,395.3333333333333
136.59223989670863,0,3421.6,5043.7,21.1,23.0,2.0,2.0,395.8
125.1519476476495,0,3940.7,5043.7,33.4,23.0,3.0,2.0,395.3
207.08508969744778,2,4503.625,5046.0,55.125,23.0,4.0,2.0,395.5
199.2137606918247,3,5071.142857142857,5046.0,62.0,23.0,5.0,2.0,395.85714285714283
251.86496219933701,3,5191.428571428572,5046.0,66.85714285714286,23.0,6.0,2.0,396.0
215.4117504274598,1,5794.666666666667,5043.444444444444,96.0,23.0,7.0,2.0,396.3333333333333
259.08307547966155,0,6314.6,5043.7,105.8,23.0,8.0,2.0,395.4
280.1422379245724,3,6676.428571428572,5037.0,115.57142857142857,23.0,9.0,2.0,395.42857142857144
289.8789445081098,1,7067.444444444444,5041.444444444444,138.88888888888889,24.0,10.0,2.0,394.44444444444446
129.36683414916584,1,3201.3333333333335,5040.0,13.222222222222221,24.0,1.0,2.0,395.3333333333333
125.51385738260828,1,3345.222222222222,5048.0,18.666666666666668,24.0,2.0,2.0,395.1111111111111
